"","hhid","cr_surveyed","af_surveyed","sample_purposely","loc_Camp","loc_Host","loc_ITS","gov_Amman","gov_Irbid","gov_Jerash","gov_Mafraq","gov_Zarqa","Azraq","Zaatari","gov_Gaza","cr_female_CLEAN","cr_baseline_age_CLEAN","age_corrected","cr_nationality","af_nationality","af_baseline_role"
"194",113542122,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,10,0,2,2,1
"195",113542128,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,9,1,2,2,1
"196",113542129,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,10,0,2,2,1
"197",113542132,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,10,0,2,2,3
"198",113542135,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,11,0,2,2,1
"199",113542139,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,12,0,2,2,1
"200",113542172,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,11,0,2,2,1
"201",113542177,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,12,0,2,2,1
"202",113542187,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,13,0,2,2,2
"203",113542188,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,11,0,2,2,1
"204",113542190,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,12,0,2,2,1
"205",113542197,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,12,0,2,2,1
"206",113542200,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,10,0,2,2,1
"207",113542205,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,12,0,2,2,1
"208",113542208,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,12,0,2,2,1
"209",113542209,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,12,0,2,2,1
"210",113542214,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,10,0,2,2,1
"211",113542221,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,12,0,2,2,1
"212",113542237,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,11,0,2,2,1
"213",113542244,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,12,0,2,2,1
"214",113542255,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,11,0,2,2,1
"215",113543002,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,17,0,2,2,1
"216",113543009,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,16,0,2,2,3
"217",113543023,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,16,0,2,2,1
"218",113543027,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,16,0,2,NA,NA
"219",113543030,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,15,0,2,2,1
"220",113543031,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,11,0,2,2,1
"221",113543032,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,16,0,2,2,1
"222",113543035,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,15,0,2,2,1
"223",113543045,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,16,0,2,2,1
